Error186.75694180523675 a = 1.9596, Multipliers,,68.32091088,23.50913361,0.61354226,0.591997894,0.870195631,25.49947896,43.81403432
,Coordinates,,-2.955974413,-2.298684697,-0.878498413,0.317731476,1.293318314,2.396000861,3.157130454
Multipliers,Coordinates,,TeaParty,NorthCaucus,LongRoomClub,BostonCommittee,LoyalNine,LondonEnemies,StAndrewsLodge
1.778213843,-0.098984979,Cooper.William,1,1,        ,1,        ,1,        
1.769100053,-0.098872782,Hoffins.John,1,1,        ,1,        ,1,        
1.03117894,-0.097108034,Cochran.John,        ,1,        ,1,        ,        ,        
1.029833119,-0.09705633,Hewes.George,        ,1,        ,1,        ,        ,        
1.030239802,-0.096117724,Appleton.Nathaniel,        ,1,        ,1,        ,        ,        
2.02959169,-0.04736749,Hopkins.Caleb,1,1,        ,        ,1,1,        
1.278334182,-0.04723004,Otis.James,        ,        ,1,1,        ,        ,        
1.278907983,-0.047103336,Quincy.Josiah,        ,        ,1,1,        ,        ,        
2.039807734,-0.047081712,Bass.Henry,1,1,        ,        ,1,1,        
2.040803454,-0.047063541,Chase.Thomas,1,1,        ,        ,1,1,        
2.035823879,-0.04705523,Davis.Caleb,1,1,        ,        ,1,1,        
2.035487063,-0.046945424,Greenleaf.William,1,1,        ,        ,1,1,        
1.71667183,0.006455034,Adams.Samuel,        ,1,1,1,        ,1,        
1.7082314,0.006597447,Hancock.John,        ,1,1,1,        ,1,        
1.719119362,0.006663141,Clarke.Benjamin,        ,1,1,1,        ,1,        
1.102595139,0.039472674,Winthrop.John,        ,1,        ,        ,        ,1,        
1.105766698,0.039579432,Greenough.Newn,        ,1,        ,        ,        ,1,        
1.104068027,0.039691304,Cheever.Ezekiel,        ,1,        ,        ,        ,1,        
1.104449971,0.039942431,Parkman.Elias,        ,1,        ,        ,        ,1,        
1.103190997,0.039952653,Pulling.John,        ,1,        ,        ,        ,1,        
1.107671004,0.040197006,Ruddock.Abiel,        ,1,        ,        ,        ,1,        
3.046134636,0.104835317,Revere.Paul,1,1,1,        ,        ,1,1
0.80555419,0.105352979,Pierpont.Robert,        ,        ,        ,1,        ,        ,        
0.800947711,0.105493909,Sweetser.John,        ,        ,        ,1,        ,        ,        
0.804440242,0.105537331,Mackay.William,        ,        ,        ,1,        ,        ,        
2.730894814,0.10926027,Urann.Thomas,1,1,        ,        ,        ,        ,1
2.580969713,0.127153234,Peck.Samuel,1,        ,        ,        ,        ,        ,1
2.233549124,0.229606441,Warren.Joseph,        ,1,1,        ,        ,1,1
0.920017894,0.262814213,Ingersoll.Daniel,        ,        ,        ,1,        ,1,        
0.919171932,0.262864092,Powell.William,        ,        ,        ,1,        ,1,        
0.917776345,0.263170018,Wendell.Oliver,        ,        ,        ,1,        ,1,        
0.918819723,0.263240539,Hunstable.Thomas,        ,        ,        ,1,        ,1,        
0.920108317,0.26327214,Dolbear.Edward,        ,        ,        ,1,        ,1,        
0.919717557,0.263334058,Bradford.John,        ,        ,        ,1,        ,1,        
0.913797657,0.263411088,Deshon.Moses,        ,        ,        ,1,        ,1,        
0.915006295,0.263566395,Boynton.Richard,        ,        ,        ,1,        ,1,        
0.796328627,0.35457948,Trott.George,        ,        ,        ,        ,1,        ,        
0.795568296,0.355784076,Smith.John,        ,        ,        ,        ,1,        ,        
0.808853124,0.435299016,Collson.Adam,        ,        ,        ,        ,1,1,        
0.810659796,0.435550312,Hitchborn.Nathaniel,        ,        ,        ,        ,1,1,        
0.807743875,0.437401541,Avery.John,        ,        ,        ,        ,1,1,        
0.627996737,0.749740474,Welles.Henry,        ,        ,        ,        ,1,        ,1
0.100182107,1.111694748,Austin.Samuel,        ,        ,        ,        ,        ,1,        
0.100016956,1.112010691,Hicks.John,        ,        ,        ,        ,        ,1,        
0.100187013,1.112218789,Dennie.William,        ,        ,        ,        ,        ,1,        
0.099840101,1.11235405,Hunnewell.Richard,        ,        ,        ,        ,        ,1,        
0.100002094,1.112682664,Boyer.Peter,        ,        ,        ,        ,        ,1,        
0.09999335,1.112774181,Austin.Benjamin,        ,        ,        ,        ,        ,1,        
0.100035117,1.11296552,Baldwin.Cyrus,        ,        ,        ,        ,        ,1,        
0.099758507,1.113187918,Prince.Job,        ,        ,        ,        ,        ,1,        
0.099919649,1.113287468,Fleet.Thomas,        ,        ,        ,        ,        ,1,        
0.099629536,1.114005219,Johonnott.Gabriel,        ,        ,        ,        ,        ,1,        
0.099591376,1.1142097,Hill.Alexander,        ,        ,        ,        ,        ,1,        
0.099574238,1.114246653,Dexter.Samuel,        ,        ,        ,        ,        ,1,        
0.099549758,1.114370976,Kimball.Thomas,        ,        ,        ,        ,        ,1,        
0.099491155,1.114663899,Hunt.Abraham,        ,        ,        ,        ,        ,1,        
0.099461377,1.114818768,Brown.John,        ,        ,        ,        ,        ,1,        
0.099582116,1.114974782,Marshall.Thomas,        ,        ,        ,        ,        ,1,        
0.099525477,1.115055334,Collier.Gershom,        ,        ,        ,        ,        ,1,        
0.099395722,1.115199673,Collins.Ezra,        ,        ,        ,        ,        ,1,        
0.099472287,1.115640521,Noyces.Nat,        ,        ,        ,        ,        ,1,        
0.099540516,1.115848346,Ferrell.Ambrose,        ,        ,        ,        ,        ,1,        
0.099428257,1.115866293,Condy.JamesFoster,        ,        ,        ,        ,        ,1,        
0.099630174,1.115893641,Waldo.Benjamin,        ,        ,        ,        ,        ,1,        
0.099383227,1.115983047,Field.Joseph,        ,        ,        ,        ,        ,1,        
0.099432304,1.116042386,Johnston.Eben,        ,        ,        ,        ,        ,1,        
0.09926167,1.116130182,Brimmer.Martin,        ,        ,        ,        ,        ,1,        
0.099164706,1.116737632,Brown.Enoch,        ,        ,        ,        ,        ,1,        
0.099130896,1.116778344,Phillips.William,        ,        ,        ,        ,        ,1,        
0.099248902,1.117079518,Pitts.Samuel,        ,        ,        ,        ,        ,1,        
0.099419002,1.117239967,Mason.Jonathan,        ,        ,        ,        ,        ,1,        
0.09910379,1.117288914,Vernon.Fortesque,        ,        ,        ,        ,        ,1,        
0.099029497,1.11733279,Pitts.John,        ,        ,        ,        ,        ,1,        
0.099137708,1.117514173,Whitwell.Samuel,        ,        ,        ,        ,        ,1,        
0.099218292,1.117825196,Williams.Jonathan,        ,        ,        ,        ,        ,1,        
0.098997634,1.117950846,Kent.Benjamin,        ,        ,        ,        ,        ,1,        
0.099058468,1.11812978,Roylson.Thomas,        ,        ,        ,        ,        ,1,        
0.098996548,1.118142614,Marson.John,        ,        ,        ,        ,        ,1,        
0.098794128,1.11870331,Broomfield.Henry,        ,        ,        ,        ,        ,1,        
0.099211765,1.118812355,Brimmer.Herman,        ,        ,        ,        ,        ,1,        
0.09870221,1.11905448,Kinnison.David,        ,        ,        ,        ,        ,1,        
0.098734204,1.119228988,Partridge.Sam,        ,        ,        ,        ,        ,1,        
0.099024376,1.119384791,Brackett.Jos,        ,        ,        ,        ,        ,1,        
