,Americans,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
Marshall.Thomas,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Marson.John,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Mason.Jonathan,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Matchett.John,1,0.5,0.5,1,0.5,0.5,0.5,0.5
May.John,1,0.5,0.5,0.5,0.5,1,0.5,0.5
McAlpine.William,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Melville.Thomas,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Merrit.John,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Milliken.Thomas,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Molineux.William,1,0.5,0.5,1,0.5,1,1,0.5
Moody.Samuel,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Moore.Thomas,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Morse.Anthony,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Morton.Perez,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Mountford.Joseph,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Newell.Eliphelet,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Nicholls.Unknown,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Noyces.Nat,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Obear.Israel,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Otis.James,1,0.5,0.5,0.5,1,0.5,1,0.5
Palfrey.William,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Palmer.Joseph,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Palms.Richard,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Parker.Jonathan,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Parkman.Elias,1,0.5,0.5,1,0.5,0.5,0.5,1
Partridge.Sam,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Payson.Joseph,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Pearce.IsaacJun,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Pearce.Isaac,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Peck.Samuel,1,1,0.5,0.5,0.5,1,0.5,0.5
Peck.Thomas,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Peters.John,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Phillips.John,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Phillips.Samuel,1,0.5,0.5,0.5,1,0.5,0.5,0.5
Phillips.William,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Pierce.William,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Pierpont.Robert,1,0.5,0.5,0.5,0.5,0.5,1,0.5
Pitts.John,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Pitts.Lendall,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Pitts.Samuel,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Porter.Thomas,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Potter.Edward,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Powell.William,1,0.5,0.5,0.5,0.5,0.5,1,1
Prentiss.Henry,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Prince.John,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Prince.Job,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Proctor.Edward,1,0.5,0.5,1,0.5,1,0.5,1
Pulling.John,1,0.5,0.5,1,0.5,0.5,0.5,1
Pulling.Richard,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Purkitt.Henry,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Quincy.Josiah,1,0.5,0.5,0.5,1,0.5,1,0.5
Randall.John,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Revere.Paul,1,1,0.5,1,1,1,0.5,1
Roby.Joseph,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Roylson.Thomas,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Ruddock.Abiel,1,0.5,0.5,1,0.5,0.5,0.5,1
Russell.John,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Russell.William,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Sessions.Robert,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Seward.James,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Sharp.Gibbens,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Shed.Joseph,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Sigourney.John,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Simpson.Benjamin,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Slater.Peter,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Sloper.Ambrose,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Smith.John,1,0.5,1,0.5,0.5,0.5,0.5,0.5
Spear.Thomas,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Sprague.Samuel,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Spurr.John,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Stanbridge.Henry,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Starr.James,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Stearns.Phineas,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Stevens.Ebenezer,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Stoddard.Asa,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Stoddard.Jonathan,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Story.Elisha,1,0.5,0.5,1,0.5,1,0.5,0.5
Swan.James,1,0.5,0.5,1,0.5,1,0.5,0.5
Sweetser.John,1,0.5,0.5,0.5,0.5,0.5,1,0.5
Symmes.Eben,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Symmes.John,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Tabor.Philip,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Tileston.Thomas,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Trott.George,1,0.5,1,0.5,0.5,0.5,0.5,0.5
Tyler.Royall,1,0.5,0.5,0.5,1,0.5,0.5,0.5
Urann.Thomas,1,1,0.5,1,0.5,1,0.5,0.5
Vernon.Fortesque,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Waldo.Benjamin,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Warren.Joseph,1,1,0.5,1,1,0.5,0.5,1
Webb.Joseph,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Webster.Thomas,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Welles.Henry,1,1,1,0.5,0.5,0.5,0.5,0.5
Wendell.Oliver,1,0.5,0.5,0.5,0.5,0.5,1,1
Wheeler.Josiah,1,0.5,0.5,0.5,0.5,1,0.5,0.5
White.Samuel,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Whitten.John,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Whitwell.Samuel,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Whitwell.William,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Williams.Jeremiah,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Williams.Jonathan,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Williams.Thomas,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Willis.Nathaniel,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Wingfield.William,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Winslow.John,1,0.5,0.5,0.5,1,0.5,0.5,0.5
Winthrop.John,1,0.5,0.5,1,0.5,0.5,0.5,1
Wyeth.Joshua,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Young.Thomas,1,0.5,0.5,1,0.5,1,1,0.5
